"","Phenotype_Name","Phenotype_Discription","Phenotype_Symptoms","Phenotype_Treatment","Phenotype_Age","Phenotype_Gender","Phenotype_Number"
"1405","Premature Ejaculation","Premature ejaculation is characterized as a short time to ejaculation (prior to or within about one minute) and a reduced feeling of an ejaculatory control. ","Anxious mood;Depressed mood;Fatigue;Pain;Insomnia","","<20;0;20s;0;30s;0;40s;1;50s;0;60s;1;70+;0","Female=0%;Male=100%",1405
"1406","Cerebral Cryptococcus neoformans infection","Cryptococcus neoformans is a yeast-like fungus which causes life-threatening infections in patients that are immunocompromised.","Fatigue;Pain;Anxious mood;Depressed mood;Insomnia","Tramadol","<20;0;20s;0;30s;0;40s;1;50s;0;60s;2;70+;1","Female=75%;Male=25%",1406
"1407","Conus medullaris syndrome","Conus medullaris syndrome is a condition of the terminal end of the spinal cord, at the lower back/buttocks area from traumatic injury or from birth (congenital). This condition can cause pain and neurological deficits i.e. bowel/bladder dysfunction, loss of motor function, and numbness.","Fatigue;Insomnia;Pain;Anxious mood;Depressed mood","","<20;0;20s;1;30s;0;40s;0;50s;1;60s;3;70+;1","Female=50%;Male=50%",1407
"1408","Sluggish cognitive tempo","Sluggish cognitive tempo (SCT) may be considered a subtype or a distinct condition related to Attention Deficit Hyperactivity Disorder (ADHD) and Attention Deficit Disorder (ADD); there is no consensus within the medical community. SCT symptoms include physical hypoactivity and inattentiveness.","Fatigue;Depressed mood;Anxious mood;Insomnia;Pain","Gabapentin;Methylphenidate;Tramadol;Trazodone","<20;3;20s;5;30s;10;40s;5;50s;10;60s;4;70+;0","Female=59%;Male=41%",1408
"1409","Cryoglobulinemia","Cryoglobulinemia is the presence of abnormal proteins in the blood. These abnormal proteins become gel-like in cold temperatures and can adversely affect blood vessels and blood flow to vital organs.","Fatigue;Pain;Insomnia;Anxious mood;Depressed mood","Aspirin;Diazepam;Rivaroxaban;Tramadol","<20;0;20s;1;30s;1;40s;5;50s;5;60s;6;70+;1","Female=90%;Male=10%",1409
"1410","Familial exudative vitreoretinopathy","Familial (inherited) exudative vitreoretinopathy is an eye condition affecting the retina, the vitreous, the clear, ""gelatin like,"" substance inside the center of the eye and the blood vessels that feed the retina. Symptoms can vary and develop over time.","Anxious mood;Pain;Depressed mood;Fatigue;Insomnia","Zolpidem","<20;1;20s;2;30s;0;40s;1;50s;7;60s;0;70+;0","Female=80%;Male=20%",1410
"1411","Idiopathic pulmonary hemosiderosis","Idiopathic pulmonary hemosiderosis is a rare condition found primarily in children that causes recurrent blood collection within the lung's alveoli; this causes a disruption in the exchange of O2 and CO2. Common symptoms include, cough, shortness of breath, and anemia.","Depressed mood;Fatigue;Anxious mood;Insomnia;Pain","Fluticasone-Salmeterol","<20;0;20s;1;30s;1;40s;1;50s;2;60s;2;70+;0","Female=43%;Male=57%",1411
"1412","Portal vein thrombosis","Portal vein thrombosis is a blood clot that is obstructing the portal vein, which brings blood to the liver from the intestines. The increased pressure in the portal vein causes the spleen to enlarge, and other veins to dilate and twist in the esophagus and stomach; internal bleeding may occur.","Fatigue;Pain;Insomnia;Anxious mood;Depressed mood","Ketamine;Propranolol;Rivaroxaban;Tramadol;Warfarin","<20;0;20s;1;30s;1;40s;9;50s;10;60s;6;70+;0","Female=63%;Male=37%",1412
"1413","Benign brain tumor","Benign brain tumors are noncancerous abnormal growth of cells within the brain. These tumors usually have a defined border and does not invade the surrounding brain tissue. However, if the tumor compresses on a part of the brain, it can cause untoward effects.","Anxious mood;Fatigue;Pain;Depressed mood;Insomnia","Tramadol;CT Scan (computerized tomography scan);Diazepam;Hydrocodone-Acetaminophen;Massage Therapy;Nerve Block;Neuromuscular Electrical Stimulation;Oxycodone;Pets;Radiation Therapy","<20;0;20s;8;30s;8;40s;21;50s;27;60s;18;70+;5","Female=80%;Male=20%",1413
"1414","Lymphocytic bronchiolitis","Lymphocytic bronchiolitis is a lung infection (inflammation of the bronchioles-the airways that extend beyond the bronchi and end in the alveoli) that affects the more distal airways; it is a viral inflammatory process.","Pain;Anxious mood;Depressed mood;Fatigue;Insomnia","","<20;0;20s;0;30s;3;40s;2;50s;0;60s;1;70+;0","Female=83%;Male=17%",1414
"1415","Barre-Lieou syndrome","Barre Lieou Syndrome is characterized as a constellation of symptoms involving the cervical neck. Some symptoms include migraine pain, tinnitus, involuntary eye movements upon head movement (nystagmus), ringing in the ear (tinnitus), spasms, and blurred vision.","Fatigue;Pain;Insomnia;Anxious mood;Depressed mood","Hydrocodone-Acetaminophen;Hydromorphone;Ibuprofen;Ice or Cold Packs;NatureMade Super B-Complex;Pregabalin;Tramadol","<20;0;20s;2;30s;2;40s;5;50s;7;60s;1;70+;0","Female=89%;Male=11%",1415
"1416","Pneumocystis jiroveci pneumonia","Pneumocystis Jiroveci Pneumonia formally called PCP (pneumocystis carinii pneumonia) is a fungal infection and inflammation of the lungs caused by a common fungus called Pneumocystis jiroveci. People with a weakened immune system are susceptible to this infection.","Fatigue;Depressed mood;Insomnia;Pain;Anxious mood","","<20;0;20s;0;30s;2;40s;0;50s;3;60s;5;70+;2","Female=33%;Male=67%",1416
"1417","Vitreous detachment","Vitreous detachment occurs when the vitreous slowly shrinks as we age.  Fine fibers found within the vitreous are attached to the retina, and break off as the vitreous shrinks causing the vitreous and retina to separate. In most cases, it is not sight-threatening and requires no treatment.","Eye floaters;Fatigue;Pain;Anxious mood;Depressed mood;Insomnia","Gabapentin;Ibuprofen;Hydroxyzine;Acupuncture;Armodafinil;Buspirone;Butalbital-acetaminophen-caffeine;Celecoxib;Citalopram;Counseling","<20;0;20s;1;30s;4;40s;5;50s;11;60s;6;70+;1","Female=83%;Male=17%",1417
"1418","Klebsiella pneumoniae","Klebsiella pneumonia is an infection of the lungs associated with congestion and fluid accumulation. Typical symptoms might include fever, chills, cough, and chest pain. Often the cough is productive and blood tinged, and described as currant jelly sputum.","Anxious mood;Fatigue;Depressed mood;Insomnia;Pain","Caprylic Acid;Ciprofloxacin;EGCG;Grapefruit seed extract","<20;0;20s;1;30s;2;40s;2;50s;3;60s;4;70+;1","Female=54%;Male=46%",1418
"1419","Meibomian gland dysfunction","Meibomian glands are found at the rim of the eyelids, it is responsible for producing the oily layer of the tear. This is needed to prevent evaporation of the tears. Meibomian gland dysfunction can affect tear production, and may lead to dry eye.","Fatigue;Pain;Insomnia;Anxious mood;Depressed mood","Acetaminophen (Paracetamol);Acupuncture;Aspirin;Buprenorphine patch;Curcumin;Doxycycline;Ibuprofen;Lorazepam;Morphine;
more
;Sleep Study for Sleep Apnea","<20;0;20s;3;30s;5;40s;5;50s;8;60s;2;70+;1","Female=54%;Male=46%",1419
"1420","Primary progressive aphasia","Primary Progressive Aphasia (PPA) is a type of dementia that may occur in individuals under the age of 65, it is a deficit of language functions. Due to brain cell degeneration, PPA affects speaking, comprehension of conversational speech, reading and writing.","Anxious mood;Fatigue;Depressed mood;Insomnia;Pain","Lorazepam;Amantadine;Amitriptyline;Cannabidiol;Medical marijuana;Mirtazapine","<20;0;20s;7;30s;3;40s;14;50s;15;60s;16;70+;12","Female=50%;Male=50%",1420
"1421","Anorexia nervosa binge eating purging type","Anorexia nervosa binge eating purging type is an eating disorder. General characteristics include an unwillingness to maintain a body weight that is expected for age and height, strict restriction of food intake, and regular binge eating and/or purging behaviors.","Anxious mood;Fatigue;Depressed mood;Insomnia;Pain","Alprazolam;
more
;Aripiprazole;Aromatherapy;Bupropion;
more
;Buspirone;Cognitive Behavioral Therapy (CBT);Duloxetine;Escitalopram;
more
;Group Therapy;Hydroxyzine","<20;3;20s;17;30s;10;40s;3;50s;6;60s;2;70+;1","Female=93%;Male=7%",1421
"1422","Urethral diverticulum","Urethral diverticulum (UD) is a condition in which an outpouching or pocket forms from the urethra and into the anterior vaginal wall. Due to the close proximity to the urethra, this outpouching can get filled with urine and may cause urinary frequency, urgency, and pain.","Fatigue;Insomnia;Pain;Anxious mood;Depressed mood","Amitriptyline;Sacroilliac injection;Ureteric Stent","<20;0;20s;5;30s;1;40s;4;50s;7;60s;0;70+;0","Female=89%;Male=11%",1422
"1423","Hyperlipoproteinemia type I","Hyperlipoproteinemia type I is a rare inherited condition caused by lipoprotein lipase (LPL) deficiency that results in the impairment of the breakdown of fat. With LPL deficiency, triglycerides accumulate and may lead to other conditions, e.g. enlarged spleen/liver, pancreatitis, and skin lesions.","Fatigue;Pain;Anxious mood;Insomnia;Depressed mood","Buprenorphine;Buprenorphine patch;Gabapentin;Tramadol","<20;0;20s;3;30s;3;40s;0;50s;4;60s;2;70+;1","Female=69%;Male=31%",1423
"1424","Short bowel syndrome","Short bowel syndrome is group of problems related to poor absorption of nutrients. This can occur after colon surgery for people who have had half or more of their small intestine removed, or with congenital defects of the bowel. Common symptoms include dehydration, malnutrition, and weight loss.","Fatigue;Depressed mood;Pain;Anxious mood;Insomnia","Cholestyramine;Buprenorphine-Naloxone;Buprenorphine patch;Bupropion;Codeine-acetaminophen (paracetamol);Ferrous sulfate;Loperamide;Lorazepam;Opium;tapentadol","<20;4;20s;4;30s;10;40s;20;50s;24;60s;17;70+;10","Female=74%;Male=26%",1424
"1425","Cervical spondylotic myelopathy","Cervical spondylotic myelopathy refers to the changes in the spinal canal diameter and cord compression. Over time, the intervertebral discs dry out lessen in disc height. Symptoms include neck stiffness, arm pain, numbness in the hands, and weakness in the extremities.","Fatigue;Insomnia;Pain;Anxious mood;Depressed mood","Gabapentin;Cervical Collar;Duloxetine;Lorazepam;Acetaminophen (Paracetamol);Diclofenac;Hydrocodone-Acetaminophen;Massage Therapy;Meloxicam;Motorized scooter/chair","<20;0;20s;1;30s;4;40s;20;50s;24;60s;9;70+;5","Female=78%;Male=22%",1425
"1426","Microcystic adnexal carcinoma","Microcystic adnexal carcinoma is a sweat gland malignant skin tumor that typically occurs on the head and neck, particularly the central face.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","","<20;0;20s;0;30s;0;40s;0;50s;2;60s;1;70+;0","Female=100%;Male=0%",1426
"1427","Congenital varicella syndrome","During pregnancy if the mother contracts chickenpox during the first two trimesters of pregnancy there is a high risk that baby will develop congenital varicella syndrome. Some symptoms of congenital varicella syndrome include skin lesions, neurologic defects, eye diseases, and skeletal anomalies.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","","<20;0;20s;2;30s;0;40s;0;50s;0;60s;0;70+;0","Female=100%;Male=0%",1427
"1428","Hypoplastic right heart syndrome","Hypoplastic right heart syndrome is a rare type of congenital heart disease.  It occurs when parts of the right side of the heart are underdeveloped, which includes the pulmonary valve, right ventricle, tricuspid valve and pulmonary artery. Symptoms include a bluish tint to the lips and skin.","Anxious mood;Fatigue;Pain;Depressed mood;Insomnia","","<20;0;20s;3;30s;0;40s;2;50s;0;60s;0;70+;0","Female=100%;Male=0%",1428
"1429","Megalourethra","The urethra is the tube that connects the bladder to the genitals for the removal of fluids out of the body. Megalourethra (enlarged urethra) is a non obstructive urethral dilatation and abnormal development of spongy tissue (corpus spongiosum/corpus cavernosum) present at birth.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","","<20;1;20s;0;30s;0;40s;0;50s;0;60s;0;70+;0","Female=0%;Male=100%",1429
"1430","Idiopathic hypercalciuria","Idiopathic hypercalciuria is the excessive excretion of calcium in the urine without obvious cause. This condition can lead to kidney stones or osteoporosis.","Pain;Anxious mood;Depressed mood;Fatigue;Insomnia","","<20;0;20s;0;30s;2;40s;0;50s;1;60s;0;70+;0","Female=67%;Male=33%",1430
"1431","Rectal prolapse","Rectal prolapse is a condition in which the rectum (end of the colon, just above the anus) becomes stretched out and protrudes into other organs or may even extend out of the anus.","Pain;Fatigue;Insomnia;Anxious mood;Depressed mood","Alprazolam;Amitriptyline;Amphetamine-Dextroamphetamine;Aripiprazole;Biofeedback machine;Buspirone;Celecoxib;Chiropractic Therapy;Chlorzoxazone;Hydroxyzine","<20;1;20s;6;30s;8;40s;9;50s;18;60s;13;70+;6","Female=90%;Male=10%",1431
"1432","Squamous cell anal cancer","The anus is the lower end of the gastrointestinal tract, below the rectum, where bowel movements leave the body. Squamous cell anal carcinoma occurs when the skin cells spread beyond the surface to the deeper layers of the lining in or on the anus and grow uncontrollably.","Anxious mood;Fatigue;Insomnia;Depressed mood;Pain","Fluorouracil;Radiation Therapy","<20;0;20s;0;30s;1;40s;8;50s;13;60s;16;70+;2","Female=72%;Male=28%",1432
"1433","Renal hypoplasia","Renal (kidney) hypoplasia is an underdeveloped kidney with a significant filtering element (nephron) deficit and is significantly shorter than normal but retains some function.","Anxious mood;Fatigue;Pain;Depressed mood;Insomnia","Meloxicam","<20;0;20s;0;30s;0;40s;0;50s;3;60s;3;70+;1","Female=71%;Male=29%",1433
"1434","Varicocele","A varicocele is an abnormal widening of the veins, this occurs when valves inside the veins along the spermatic cord prevent blood from flowing properly. Symptoms include swelling, and a painless mass.","Fatigue;Pain;Anxious mood;Insomnia;Depressed mood","Alprazolam;Clonidine;Cyanoacrylate glue treatment;Esomeprazole;Gabapentin;Tranylcypromine;Trazodone","<20;0;20s;10;30s;7;40s;1;50s;1;60s;2;70+;0","Female=9%;Male=91%",1434
"1435","Triangular fibrocartilage complex injury","The triangular fibrocartilage complex refers to the tissue system on the small finger (ulnar) side of the wrist. An injury to the TFC can occur as a result of immediate trauma such as a sports injury. TFC tears can lead to inflammation and joint instability or conditions such as arthritis.","Fatigue;Pain;Anxious mood;Depressed mood;Insomnia","Lorazepam;Menthol topical;Osteotomy of foot;Physical Therapy;Physiotherapy;Tramadol;Walking Stick/Cane","<20;0;20s;1;30s;3;40s;4;50s;6;60s;1;70+;0","Female=67%;Male=33%",1435
"1436","Fibrous dysplasia","Fibrous dysplasia is a bone disease that destroys and replaces normal bone with fibrous bone tissue. One or more bones can be affected. occurs in childhood, usually between ages 3 - 15. The condition does not run in families (not hereditary), and the cause is unknown.","Pain;Fatigue;Anxious mood;Insomnia;Depressed mood","Nortriptyline;Hydrocodone-Acetaminophen;Ibuprofen Prescription","<20;1;20s;6;30s;7;40s;10;50s;6;60s;2;70+;0","Female=75%;Male=25%",1436
"1437","Hypertrophic osteoarthropathy","Hypertrophic osteoarthropathy (HOA) is a clinical syndrome of clubbing of the fingers and toes, enlargement of the extremities, and painful, swollen joints. Primary hypertrophic osteoarthropathy is a rare condition. Secondary hypertrophic osteoarthropathy is associated with many illnesses.","Anxious mood;Depressed mood;Fatigue;Pain;Insomnia","Morphine;Morphine ER","<20;0;20s;0;30s;3;40s;4;50s;2;60s;0;70+;0","Female=78%;Male=22%",1437
